Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2009,103117,"Mine #2, #3, #4",Alabama,Cullman,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Twin Pines Coal Company Inc,"1874 County Road 15, Bremen, AL 35033",,11355.0,14.0,5265.0
2009,103361,Cold Springs West Mine,Alabama,Cullman,Appalachia Southern,Temporarily closed,Surface,Operating Subsidiary,Mine only,Twin Pines Coal Company,"74 Industrial Parkway, Jasper, AL 35502",,110505.0,28.0,33027.0
2009,100759,North River #1 Underground Min,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Chevron Mining Inc,"3114 County Road 63 S, Berry, AL 35546",United Mine Workers of America,2706161.0,369.0,811953.0
2009,103246,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242",,95269.0,20.0,40246.0
2009,103374,Moss-Meredyth,Alabama,Franklin,Appalachia Southern,Active,Surface,Contractor,Mine only,Birmingham Coal & Coke Co Inc,"1401 Doug Baker Blvd, Suite 10, Birmingham, AL 35242",,62874.0,16.0,25991.0
2009,102933,Mine No 2,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Gtm Energy Partners, Llc","440 County Road 464, Flat Rock, AL 35966",,35563.0,9.0,13005.0
2009,103206,Mine No 1,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Gtm Energy Partners Llc,"440 Co. Road 464, Flat Rock, AL 35966",,75332.0,21.0,38382.0
2009,103231,Glade Preparation Plant,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Gtm Energy Partners, Llc","440 Co. Road 464, Flat Rock, AL 35966",,0.0,13.0,24721.0
2009,103384,Mine No. 3,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Gtm Energy Partners, Llc","442 County Road 464, Flat Rock, AL 35966",,73622.0,19.0,31880.0
2009,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,Oak Grove Resources Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0.0,38.0,72411.0
2009,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8800 Oak Grove Mine Rd, Adger, AL 35006",United Mine Workers of America,871239.0,309.0,698526.0
2009,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35502",,326059.0,39.0,95046.0
2009,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,0.0,1.0,1258.0
2009,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,1615116.0,558.0,1230346.0
2009,103180,Sloan Mountain Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,253333.0,59.0,118157.0
2009,103182,Fishtrap,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Contractor,Mine only,"Wb Mining, Llc.","4788 Highway 78, Cordova, AL 35550",,66788.0,21.0,35329.0
2009,103271,Praco Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Operating Subsidiary,Mine only,Cherokee Mining Llc,"74 Industrial Pkwy, Jasper, AL 35501",,116862.0,22.0,31294.0
2009,103278,Cef Alabama #3,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Covol Engineered Fuels Lc,"P.O. Box 60, Adger, AL 35006",,63240.0,19.0,35330.0
2009,103285,Narley Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"P.O. Box 1253, Cullman, AL 35058",,195284.0,33.0,81021.0
2009,103332,Powhatan Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Job Land & Mineral Inc,"378 Old Dora Road, Sumiton, AL 35148",,53496.0,21.0,42746.0
2009,103375,Johnson Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,97067.0,24.0,52749.0
2009,103279,Burleson North Mine,Alabama,Marion,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"M.E. Group, Inc.","P.O. Box 10, Delmar, AL 35551",,31144.0,29.0,18309.0
2009,103393,Buttahatchee Mine No 1,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Hope Coal Company Inc,"1401 Doug Baker Blvd 107-181, Birmingham, AL 35242",,167286.0,26.0,59785.0
2009,102976,Piney Woods Preparation Plant,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,0.0,7.0,16703.0
2009,102976,Piney Woods Preparation Plant,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,0.0,11.0,27253.0
2009,103205,Alliance Mine No 1,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Hope Coal Company Inc,"1401 Doug Baker Blvd, Suite 10, Birmingham, AL 35242",,82544.0,10.0,22785.0
2009,103245,Thompson Mine No 1,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,125961.0,49.0,144469.0
2009,103334,Segco/Toby Mine,Alabama,Shelby,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Twin Pines Coal Company, Inc.","74 Industrial Parkway, Jasper, AL 35501",,179883.0,43.0,85840.0
2009,103366,Thompson Surface Mine,Alabama,Shelby,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,10048.0,16.0,37941.0
2009,103380,Calera,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Dist.,"P.O. Box 11637, Daytona Beach, FL 32120",,0.0,7.0,15279.0
2009,103380,Calera,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Dist.,"P.O. Box 11637, Daytona Beach, FL 32120",,0.0,7.0,15279.0
2009,103381,Tacoa Highwall Miner,Alabama,Shelby,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Tacoa Minerals,llc","1669 Mission Hills Road, Alabaster, AL 35007",,55275.0,15.0,48593.0
2009,103417,Yeshic Mine,Alabama,Shelby,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Twin Pines Coal Company, Inc.","74 Industrial Parkway, Jasper, AL 35501",,60657.0,50.0,45152.0
2009,100563,Greenfuels Processing Plant,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Fuels No 5 Llc,"P.O. Box 457, Brookwood, AL 35444",,0.0,14.0,33082.0
2009,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"14730 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers of America,2718597.0,519.0,1219648.0
2009,101401,No 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",United Mine Workers of America,3366235.0,756.0,1837646.0
2009,103172,"Searles Mine No. 2, 3, 4, 5 &",Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,426736.0,82.0,219357.0
2009,103196,East Brookwood Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Tuscaloosa Resources Inc,"3500 35th Avenue North, Birmingham, AL 35207",,447397.0,78.0,168076.0
2009,103196,East Brookwood Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Tuscaloosa Resources Inc,"3500 35th Avenue North, Birmingham, AL 35207",,0.0,1.0,1056.0
2009,103260,Howton Mine,Alabama,Tuscaloosa,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Tuscaloosa Resources, Inc.","3500 35th Ave. North, Birmingham, AL 35207",,122856.0,37.0,49689.0
2009,103303,Shannon,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Rock Mountain Mining-Div/Twin,"P.O. Box 621, Jasper, AL 35502",,384727.0,54.0,155372.0
2009,103320,Davis Creek Mine,Alabama,Tuscaloosa,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,National Coal Of Alabama Inc,"1810 Birmingham Ave, Suite 101, Jasper, AL 35501",,24300.0,8.0,12115.0
2009,103323,Deerlick Mine,Alabama,Tuscaloosa,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Terrequip Mining Llc,"201 Tucker Rd, Ste101, Helena, AL 35080",,11445.0,11.0,2374.0
2009,103362,Cef Alabama #4,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Engineered Fuels Lc,"P.O. Box 157, Brookwood, AL 35444",,0.0,6.0,13624.0
2009,103364,Cef Alabama #7,Alabama,Tuscaloosa,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Preparation Plant,Covol Engineered Fuels Lc,"P.O. Box 486, Brookwood, AL 35444",,0.0,20.0,8385.0
2009,103365,Cef Alabama #5,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Engineered Fuels Lc,"P.O. Box 425, Brookwood, AL 35444",,0.0,15.0,32485.0
2009,103390,Highway 59 Mine No. 1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Tuscaloosa Resources, Inc","3500 35th Ave. North, Birmingham, AL 35207",,73533.0,41.0,34980.0
2009,100347,Choctaw Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"107 N. Walston Bridge Road, Jasper, AL 35504",,646010.0,100.0,277549.0
2009,101362,Manchester Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,125525.0,32.0,87041.0
2009,102996,Jap Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy/P.O. Box, Jasper, AL 35502",,254999.0,39.0,106048.0
2009,103002,Corinth Mine,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,Warrior Investment Co Inc,"218 Hwy 195 N, Jasper, AL 35503",,101427.0,29.0,70225.0
