Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2006,103295,Seymour Mine,Alabama,Bibb,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Capcon Inc,"133 Rossburg Drive, Calera, AL 35040",,18519,3,3579
2006,103117,"Mine #2, #3, #4",Alabama,Cullman,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Twin Pines Coal Company Inc,"P.O. Box 621, Jasper, AL 35502",,633860,88,226478
2006,103246,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","2477 Valleydale Rd S #b3, Birmingham, AL 35244",,189984,20,63589
2006,102933,Mine No 1 & Mine No 2,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,59454,16,37360
2006,103006,Bledsoe #1,Alabama,Jackson,Appalachia Southern,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,A L Select Inc,"573 Co Rd 85, Stevenson, AL 35772",,5908,3,3990
2006,103206,Mine No 1,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Gtm Mining Corporation,"15693 Alabama Highway 71, Pisgah, AL 35765",,48191,18,43380
2006,103301,Pit Number 2,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,D&e Mining Llc,"20297 Alabama Hwy 71, Flat Rock, AL 35966",,47819,22,31124
2006,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Oak Grove Resources, Llc","8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,38,88553
2006,100742,Short Creek 8750,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,0,9,15172
2006,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,"Oak Grove Resources, Llc","8800 Oak Grove Mine Rd, Adger, AL 35006",Utility Workers of America,1415173,324,747681
2006,101037,Knob Strip Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,53363,31,49532
2006,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35502",,355849,46,117391
2006,102760,Merritt Rogers Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"2361 Cumberland Lake Dr, Pinson, AL 35126",,2564,2,1133
2006,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,0,1,3146
2006,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,818287,531,1294052
2006,103150,Littleton Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Twin Pines Coal Company Inc,"P.O. Box 621, Jasper, AL 35502",,155175,29,73350
2006,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","8260 Birmingport Rd, Mulga, AL 35118",,0,66,121456
2006,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","8260 Birmingport Rd, Mulga, AL 35118",,0,1,2479
2006,103180,Sloan Mountain Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"2361 Cumberland Drive, Pinson, AL 35126",,242896,42,87797
2006,103182,Fishtrap,Alabama,Jefferson,Appalachia Southern,Active,Surface,Contractor,Mine only,"Black Warrior Minerals, Inc.","4788 Highway 78, Cordova, AL 35550",,107250,21,59330
2006,103271,Praco Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Cherokee Mining Llc,"74 Industrial Pkwy, Jasper, AL 35501",,282795,54,127548
2006,103278,Jwr #3,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Engineered Fuels Lc,"5290 Mud Creek Rd, Adger, AL 35006",,34901,9,19611
2006,103278,Jwr #3,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Covol Engineered Fuels Lc,"5290 Mud Creek Rd, Adger, AL 35006",,0,9,25673
2006,103285,Narley Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1253, Cullman, AL 35058",,216498,22,56815
2006,103332,Powhatan Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Job Land & Mineral Inc,"378 Old Dora Road, Sumiton, AL 35148",,19000,90,1080
