Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2005,103295,Seymour Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Hope Coal Company Inc,"3705 Cumberland Trace, Birmingham, AL 35242",,57800,13,18978
2005,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"Post Office Box 1549, Jasper, AL 35502",United Mine Workers of America,97438,13,30100
2005,100163,Arkadelphia 5761,Alabama,Cullman,Appalachia Southern,Permanently abandoned,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"Post Office Box 1549, Jasper, AL 35502",United Mine Workers of America,0,1,1500
2005,103117,"Mine #2, #3, #4",Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Twin Pines Coal Company Inc,"P.O. Box 621, Jasper, AL 35502",,570809,71,197120
2005,103326,Roberts Store Mine #1,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Dorsey Creek Llc,"120 N. Walston Bridge Rd., Bld, Jasper, AL 35504",,91813,27,35344
2005,103246,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","2477 Valleydale Rd S #b3, Birmingham, AL 35244",,84268,8,22743
2005,102933,Mine No. 1,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Cahaba Resources, Llc.","16098 House Road, Brookwood, AL 35444",,14296,13,13843
2005,103006,Bledsoe Mine No 1,Alabama,Jackson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,A L Select Inc,"573 Co Rd 85, Stevenson, AL 35772",,6593,5,4741
2005,103206,Mine No 1,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Gtm Mining Corporation,"15693 Alabama Highway 71, Pisgah, AL 35765",,60483,18,59561
2005,103301,Pit Number 2,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,D&e Mining Llc,"20297 Alabama Hwy 71, Flat Rock, AL 35966",,25270,19,26946
2005,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Oak Grove Resources, Llc","8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,38,93323
2005,100742,Short Creek 8750,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,0,10,29267
2005,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,"Oak Grove Resources, Llc","8800 Oak Grove Mine Rd, Adger, AL 35006",United Mine Workers of America,1716299,301,797770
2005,101037,Knob Strip Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,456500,71,176737
2005,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35501",,297337,43,118155
2005,102760,Merritt Rogers Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"2361 Cumberland Lake Dr, Pinson, AL 35126",,121537,22,49876
2005,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,2218195,820,1999052
2005,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,R J R Mining Company Inc,"104 3rd Street Sw, Cullman, AL 35055",,9719,3,1788
2005,103102,Newco #1,Alabama,Jefferson,Appalachia Southern,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,"Sunrise Coal Co., Llc","P.O. Box 270, Graysville, AL 35073",,94401,38,67157
2005,103150,Littleton Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Twin Pines Coal Company Inc,"P.O. Box 621, Jasper, AL 35502",,122787,22,66701
2005,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","8260 Birmingport Rd, Mulga, AL 35118",,0,60,109097
2005,103178,Alabama Fuel Products,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Alabama Coal Recovery, Llc","8260 Birmingport Rd, Mulga, AL 35118",,0,4,5742
2005,103180,Sloan Mountain Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"2361 Cumberland Drive, Pinson, AL 35126",,152594,20,45589
2005,103182,Fishtrap,Alabama,Jefferson,Appalachia Southern,Active,Surface,Contractor,Mine only,"Black Warrior Minerals, Inc.","4788 Highway 78, Cordova, AL 35550",,115958,20,55825
2005,103271,Praco Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Contractor,Mine only,Cherokee Mining Llc,"107 Walston Bridge Road, Jasper, AL 35504",,457976,67,169859
2005,103278,Eagle Alabama No 1,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Eagle North America Inc,"5290 Mud Creek Road, Adger, AL 35006",,90616,12,23418
2005,103278,Eagle Alabama No 1,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Eagle North America Inc,"5290 Mud Creek Road, Adger, AL 35006",,0,11,31575
2005,103285,Narley Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1253, Cullman, AL 35058",,167557,17,43580
2005,103279,Burleson Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"M. E. Group, Inc.","119 Euclid Avenue, Birmingham, AL 35213",,35913,7,17785
2005,103293,Dulin Mine,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Reed Mining, Inc.","3699 Industrial Pkwy, Jasper, AL 35501",,94392,20,65894
2005,103298,Little Goodwin Creek,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Haley Bros. Coal Inc.,"P.O. Box 322, Harleyville, AL 35565",,26414,10,16880
2005,103205,Alliance Mine No 1,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Hope Coal Company Inc,"3705 Cumberland Trace, Birmingham, AL 35242",,102483,14,33945
