Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2003,103117,Mine #2,Alabama,Cullman,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Twin Pines Coal Company Inc,"1874 County Road 15, Bremen, AL 35503",,177381,50,67199
2003,103246,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35575",,46049,4,11075
2003,103006,Bledsoe Mine No 1,Alabama,Jackson,Appalachia Southern,Mine closed by MSHA,Underground,Indepedent Producer Operator,Mine only,A L Select Inc,"P.O. Box 864, Stevenson, AL 35772",,500,3,5161
2003,103183,Henager,Alabama,Jackson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Gtm Mining Corporation,"15693 Alabama Highway 71, Pisgah, AL 35765",,55187,8,19348
2003,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Preparation Plant,"Oak Grove Resources, Llc","8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,23,52009
2003,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,"Oak Grove Resources, Llc","8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,23,52008
2003,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,"Oak Grove Resources, Llc","8800 Oak Grove Mine Rd, Adger, AL 35006",United Mine Workers of America,1730395,301,710857
2003,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"P.O. Box 2328, Jasper, AL 35502",,185626,29,61964
2003,102760,Merritt Rogers Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"2361 Cumberland Lake Dr, Pinson, AL 35126",,188797,23,48345
2003,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Drummond Company, Inc.","P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,3840165,675,1583983
2003,102951,Majestic,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,R J R Mining Company Inc,"104 3rd Street Sw, Cullman, AL 35055",,60783,5,9975
2003,103101,North Pratt Prep,Alabama,Jefferson,Appalachia Southern,Mine closed by MSHA,Underground,Indepedent Producer Operator,Preparation Plant,"A2m, Llc","P.O. Box 244, Buckner, KY 40010",,0,11,17773
2003,103102,Newco #1,Alabama,Jefferson,Appalachia Southern,Mine closed by MSHA,Underground,Indepedent Producer Operator,Mine only,"Sunrise Coal Co., Llc","547 S Main, Graysville, AL 35073",,139071,45,96945
2003,103136,Cooper Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"Post Office Box 1253, Cullman, AL 35056",,2676,11,1258
