Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2012,101401,No 7 Mine,Alabama,Tuscaloosa,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",United Mine Workers of America,4764268,947,2435004
2012,103172,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",-,354510,86,216228
2012,103179,Fleetwood Mine No 1,Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",-,110803,22,61834
2012,103303,Shannon Mine,Alabama,Tuscaloosa,Active,Surface,Operating Subsidiary,Mine only,"Shannon, Llc","74 Industrial Parkway, Jasper, AL 35501",-,1066664,364,751163
2012,103323,Deerlick Mine,Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,"Cahaba Resources, Llc","15567 Hwy 216, Brookwood, AL 35444",-,75229,16,35684
2012,103362,Brc Alabama No. 4 Llc,Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Brc Alabama No. 4 Llc,"P.O. Box 157, Brookwood, AL 35444",-,0,101,50959
2012,103364,Brc Alabama No. 7 Llc,Alabama,Tuscaloosa,Permanently abandoned,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Brc Alabama No. 7 Llc,"P.O. Box 425, Brookwood, AL 35444",-,0,26,14411
2012,103436,Swann's Crossing,Alabama,Tuscaloosa,Active,Surface,Operating Subsidiary,Mine only,"Tuscaloosa Resources, Inc.","3000 Riverchase Galleria, Ste, Birmingham, AL 35244",-,360949,79,228063
2012,100347,Choctaw Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",-,615446,97,246252
2012,101362,Manchester Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",-,150882,40,111699
2012,102996,Jap Creek Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy, Jasper, AL 35501",-,292111,44,123278
2012,103155,Corinth Prep Plant,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503",-,0,17,43905
2012,103155,Corinth Prep Plant,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503",-,0,18,43905
2012,103195,Mccollum/Sparks Branch Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal, Inc.","17405 Hwy 69 S, Jasper, AL 35501",-,84257,10,20528
2012,103337,Gooden Creek,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242",-,69001,17,38709
2012,103342,Reese's Branch Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",-,276916,59,129126
2012,103370,Cresent Valley Mine,Alabama,Walker,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,National Coal Of Alabama Inc,"1810 Birmingham Ave, Suite 101, Jasper, AL 35501",-,88003,12,28235
2012,103372,Cane Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Cane Creek Llc,"P.O. Box 1253, Cullman, AL 35056",-,6698,12,6667
2012,103376,Town Creek,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Parkway, Jasper, AL 35501",-,309314,48,140943
2012,103389,Carbon Hill Mine,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Mine only,Prospect Mining And Developmen,"218 Hwy 195, Jasper, AL 35503",-,43144,35,77836
2012,103398,Kansas Mine,Alabama,Walker,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave, Suite 101, Jasper, AL 35501",-,7798,2,1590
2012,103410,Coal Valley Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,"Xinergy Of Alabama, Inc.","2600 Warrior Jasper Rd, Warrior, AL 35180",-,347156,64,159645
